TRANSACTION_ID,TRANSACTION_DATE,TRANSACTION_TIME,TRANSACTION_QTY,STORE_ID,STORE_LOCATION,PRODUCT_ID,UNIT_PRICE,PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,WEEK,MONTH,REVENUE
17,2023/01/01,59:58.0,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sunday,Jan,3.75
18,2023/01/01,00:18.0,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,Sunday,Jan,2.5
19,2023/01/01,00:39.0,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sunday,Jan,9
20,2023/01/01,11:45.0,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sunday,Jan,4.75
21,2023/01/01,17:27.0,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sunday,Jan,7
22,2023/01/01,24:26.0,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,5.1
23,2023/01/01,24:26.0,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Sunday,Jan,3.25
24,2023/01/01,29:38.0,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,2.55
25,2023/01/01,31:23.0,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sunday,Jan,3.75
26,2023/01/01,33:08.0,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sunday,Jan,3
27,2023/01/01,33:08.0,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Sunday,Jan,3.5
28,2023/01/01,35:03.0,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,6
29,2023/01/01,35:03.0,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Sunday,Jan,3.75
30,2023/01/01,41:57.0,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sunday,Jan,7.5
31,2023/01/01,52:03.0,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,3.75
32,2023/01/01,52:32.0,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sunday,Jan,3
33,2023/01/01,54:33.0,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,Sunday,Jan,7
34,2023/01/01,56:27.0,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Sunday,Jan,5
35,2023/01/01,57:46.0,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,2.5
36,2023/01/01,58:55.0,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sunday,Jan,3
37,2023/01/01,00:12.0,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Sunday,Jan,4
38,2023/01/01,00:24.0,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sunday,Jan,7.5
39,2023/01/01,07:13.0,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,3
40,2023/01/01,08:09.0,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,6
41,2023/01/01,08:13.0,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sunday,Jan,3
42,2023/01/01,10:30.0,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,7.5
43,2023/01/01,10:30.0,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,Sunday,Jan,4.5
44,2023/01/01,11:06.0,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,2.55
45,2023/01/01,11:06.0,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sunday,Jan,3
46,2023/01/01,13:01.0,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Sunday,Jan,2.5
47,2023/01/01,13:15.0,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,5.1
48,2023/01/01,14:16.0,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,Sunday,Jan,2.5
49,2023/01/01,14:17.0,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sunday,Jan,2.5
50,2023/01/01,14:25.0,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Sunday,Jan,2.5
51,2023/01/01,14:41.0,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sunday,Jan,3
52,2023/01/01,15:09.0,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,6
53,2023/01/01,15:13.0,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sunday,Jan,6
54,2023/01/01,19:21.0,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Sunday,Jan,4.4
55,2023/01/01,19:26.0,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sunday,Jan,4.5
56,2023/01/01,21:08.0,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,3.75
57,2023/01/01,22:17.0,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,3
58,2023/01/01,22:46.0,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Sunday,Jan,2.45
59,2023/01/01,29:56.0,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sunday,Jan,7.5
60,2023/01/01,29:56.0,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,Sunday,Jan,3.5
61,2023/01/01,29:57.0,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sunday,Jan,3
62,2023/01/01,34:17.0,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sunday,Jan,8.5
63,2023/01/01,40:13.0,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sunday,Jan,4.25
64,2023/01/01,41:22.0,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,6
65,2023/01/01,41:22.0,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sunday,Jan,3.75
66,2023/01/01,44:20.0,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,5
67,2023/01/01,44:46.0,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sunday,Jan,3
68,2023/01/01,46:46.0,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,Sunday,Jan,6
69,2023/01/01,47:40.0,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sunday,Jan,7.5
70,2023/01/01,50:44.0,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,Sunday,Jan,6
71,2023/01/01,50:44.0,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Sunday,Jan,3.25
72,2023/01/01,52:58.0,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Sunday,Jan,2.5
73,2023/01/01,53:28.0,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,3
74,2023/01/01,53:44.0,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sunday,Jan,7.5
75,2023/01/01,53:44.0,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Sunday,Jan,3.25
76,2023/01/01,53:49.0,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sunday,Jan,3.1
77,2023/01/01,54:46.0,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sunday,Jan,2.5
78,2023/01/01,55:16.0,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sunday,Jan,6
79,2023/01/01,56:30.0,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sunday,Jan,2
80,2023/01/01,00:39.0,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sunday,Jan,6
81,2023/01/01,03:55.0,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sunday,Jan,7.5
82,2023/01/01,14:49.0,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sunday,Jan,3
83,2023/01/01,14:49.0,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Sunday,Jan,3.75
84,2023/01/01,16:30.0,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sunday,Jan,6
85,2023/01/01,16:33.0,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,2.5
86,2023/01/01,18:14.0,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sunday,Jan,8.5
87,2023/01/01,18:52.0,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Sunday,Jan,4.4
88,2023/01/01,19:42.0,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sunday,Jan,5
89,2023/01/01,24:19.0,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,2.5
90,2023/01/01,25:22.0,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,5.1
91,2023/01/01,25:45.0,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Sunday,Jan,7
92,2023/01/01,25:45.0,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,Sunday,Jan,3.5
93,2023/01/01,27:48.0,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,6
94,2023/01/01,30:07.0,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sunday,Jan,3.1
95,2023/01/01,30:07.0,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,Sunday,Jan,3.25
96,2023/01/01,35:47.0,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,3.75
97,2023/01/01,41:53.0,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sunday,Jan,4.5
98,2023/01/01,47:53.0,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sunday,Jan,7.5
99,2023/01/01,49:13.0,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sunday,Jan,6
100,2023/01/01,49:51.0,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sunday,Jan,9.5
101,2023/01/01,51:17.0,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,3
102,2023/01/01,52:44.0,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sunday,Jan,5
103,2023/01/01,52:44.0,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,Sunday,Jan,3.75
104,2023/01/01,56:14.0,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,3.75
105,2023/01/01,56:14.0,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Sunday,Jan,3.5
106,2023/01/01,01:48.0,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sunday,Jan,2
107,2023/01/01,01:58.0,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,3.75
108,2023/01/01,01:58.0,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Sunday,Jan,3.5
109,2023/01/01,03:25.0,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,6
110,2023/01/01,03:25.0,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Sunday,Jan,3.5
111,2023/01/01,04:32.0,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,Sunday,Jan,8.5
112,2023/01/01,08:11.0,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sunday,Jan,4.5
113,2023/01/01,08:59.0,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sunday,Jan,6
114,2023/01/01,09:01.0,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sunday,Jan,4.5
115,2023/01/01,10:21.0,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,3
116,2023/01/01,10:21.0,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sunday,Jan,3.75
117,2023/01/01,10:58.0,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Sunday,Jan,2.5
118,2023/01/01,12:29.0,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sunday,Jan,3
119,2023/01/01,16:02.0,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,6
120,2023/01/01,21:00.0,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,5
121,2023/01/01,21:04.0,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sunday,Jan,6
122,2023/01/01,21:14.0,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,3.75
123,2023/01/01,23:01.0,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,Sunday,Jan,2.2
124,2023/01/01,23:43.0,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,7.5
125,2023/01/01,23:43.0,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sunday,Jan,3
126,2023/01/01,25:35.0,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,Sunday,Jan,6
127,2023/01/01,25:37.0,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,Sunday,Jan,7.5
128,2023/01/01,28:15.0,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Sunday,Jan,5
129,2023/01/01,28:29.0,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sunday,Jan,7
130,2023/01/01,29:25.0,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,5.1
131,2023/01/01,29:57.0,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sunday,Jan,6.2
132,2023/01/01,29:57.0,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,Sunday,Jan,4.5
133,2023/01/01,30:22.0,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sunday,Jan,2.5
134,2023/01/01,31:35.0,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sunday,Jan,3
135,2023/01/01,31:43.0,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sunday,Jan,6
136,2023/01/01,31:43.0,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,Sunday,Jan,3.25
137,2023/01/01,31:53.0,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,5
138,2023/01/01,31:53.0,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Sunday,Jan,3.5
139,2023/01/01,39:14.0,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,3.75
140,2023/01/01,39:14.0,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Sunday,Jan,3.75
141,2023/01/01,40:26.0,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sunday,Jan,5
142,2023/01/01,43:57.0,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Sunday,Jan,4.4
143,2023/01/01,44:09.0,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,3.75
144,2023/01/01,47:13.0,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Sunday,Jan,3
145,2023/01/01,48:56.0,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Sunday,Jan,5
146,2023/01/01,49:42.0,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,2.5
147,2023/01/01,49:42.0,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Sunday,Jan,3.25
148,2023/01/01,50:16.0,2,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sunday,Jan,6
149,2023/01/01,50:23.0,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sunday,Jan,7.5
150,2023/01/01,50:58.0,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sunday,Jan,6
151,2023/01/01,51:30.0,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sunday,Jan,7
152,2023/01/01,52:31.0,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sunday,Jan,3.1
153,2023/01/01,57:17.0,2,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot,Sunday,Jan,6
154,2023/01/01,57:59.0,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Sunday,Jan,2.5
155,2023/01/01,57:59.0,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sunday,Jan,3.75
156,2023/01/01,58:15.0,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,7.5
157,2023/01/01,00:20.0,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Sunday,Jan,2.5
158,2023/01/01,01:00.0,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,Sunday,Jan,6
159,2023/01/01,01:20.0,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sunday,Jan,6.2
160,2023/01/01,01:20.0,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Sunday,Jan,3.5
161,2023/01/01,03:09.0,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sunday,Jan,3.75
162,2023/01/01,03:38.0,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,3
163,2023/01/01,03:43.0,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Sunday,Jan,2.5
164,2023/01/01,04:22.0,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,Sunday,Jan,7
165,2023/01/01,05:31.0,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sunday,Jan,5
166,2023/01/01,06:29.0,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Sunday,Jan,2.5
167,2023/01/01,07:42.0,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sunday,Jan,3
168,2023/01/01,08:21.0,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sunday,Jan,3
169,2023/01/01,08:36.0,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sunday,Jan,3.1
170,2023/01/01,09:11.0,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Sunday,Jan,4
171,2023/01/01,09:12.0,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Sunday,Jan,5
172,2023/01/01,13:07.0,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,7.5
173,2023/01/01,14:26.0,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sunday,Jan,6.2
174,2023/01/01,17:38.0,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Sunday,Jan,5
175,2023/01/01,18:07.0,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Sunday,Jan,4.4
176,2023/01/01,18:44.0,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,Sunday,Jan,6
177,2023/01/01,20:16.0,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,7.5
178,2023/01/01,23:39.0,1,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sunday,Jan,3
179,2023/01/01,27:06.0,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sunday,Jan,8.5
180,2023/01/01,30:46.0,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Sunday,Jan,5
181,2023/01/01,30:49.0,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Sunday,Jan,3.75
182,2023/01/01,33:20.0,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sunday,Jan,5
183,2023/01/01,33:35.0,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Sunday,Jan,5
184,2023/01/01,35:53.0,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,Sunday,Jan,4.4
185,2023/01/01,36:57.0,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,3.75
186,2023/01/01,38:28.0,2,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg,Sunday,Jan,6
187,2023/01/01,42:26.0,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sunday,Jan,3
188,2023/01/01,44:01.0,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sunday,Jan,3.75
189,2023/01/01,44:31.0,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sunday,Jan,3
190,2023/01/01,44:32.0,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sunday,Jan,2.5
191,2023/01/01,45:52.0,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Sunday,Jan,4
192,2023/01/01,46:22.0,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,2.55
193,2023/01/01,46:26.0,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sunday,Jan,2.5
194,2023/01/01,46:55.0,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sunday,Jan,3.5
195,2023/01/01,46:55.0,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Sunday,Jan,3.5
